status,name,instructions,instructions Δ,instructions Δ%,heap_increase,heap_increase Δ,heap_increase Δ%,stable_memory_increase,stable_memory_increase Δ,stable_memory_increase Δ%
,bench_add_user_hidden_dapp_id,2443963,-76,-0.00%,0,0,0.00%,0,0,0.00%
,bench_btc_add_pending_transaction_200,46081500,10700,0.02%,1,0,0.00%,0,0,0.00%
,bench_btc_add_pending_transaction_5,1970086,-498,-0.03%,0,0,0.00%,0,0,0.00%
,bench_btc_get_pending_transactions_200,23839741,-11881,-0.05%,0,0,0.00%,0,0,0.00%
,bench_btc_get_pending_transactions_5,911855,1325,0.15%,0,0,0.00%,0,0,0.00%
,bench_config,1433,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_create_user_profile,677089,-76,-0.01%,0,0,0.00%,0,0,0.00%
,bench_delete_contact,1258361,-50,-0.00%,0,0,0.00%,0,0,0.00%
,bench_get_account_creation_timestamps_200,170278678,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_get_account_creation_timestamps_5,4198911,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_get_account_creation_timestamps_50,42201786,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_get_contact,454084,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_get_contacts_10,604584,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_get_contacts_200,4011399,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_get_user_profile,855494,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_has_user_profile,3644,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_http_request_metrics,22439,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_http_request_not_found,1433,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_list_custom_tokens_200,5910283,-7228,-0.12%,0,0,0.00%,0,0,0.00%
,bench_list_custom_tokens_5,459156,-3216,-0.70%,0,0,0.00%,0,0,0.00%
,bench_remove_custom_token,1328626,309803,30.41%,0,0,0.00%,0,0,0.00%
,bench_set_custom_token,315604,-126,-0.04%,0,0,0.00%,0,0,0.00%
,bench_set_many_custom_tokens_200,32806093,-1331508446,-97.60%,1,-1,-50.00%,0,0,0.00%
,bench_set_many_custom_tokens_5,342105,-4485162,-92.91%,0,0,0.00%,0,0,0.00%
,bench_set_user_show_testnets,2445381,-76,-0.00%,0,0,0.00%,0,0,0.00%
,bench_stats,320,0,0.00%,0,0,0.00%,0,0,0.00%
,bench_update_contact,1264017,-50,-0.00%,0,0,0.00%,0,0,0.00%
,bench_update_user_agreements,2446229,-76,-0.00%,0,0,0.00%,0,0,0.00%
,bench_update_user_experimental_features,2442012,-76,-0.00%,0,0,0.00%,0,0,0.00%
,bench_update_user_network_settings,2441057,-76,-0.00%,0,0,0.00%,0,0,0.00%
